	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	169.0	12,15,18,21-tetracosatetraenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							12,15,18,21-tetracosatetraenoic acid[c]	1.0									
	170.0	Linoleate de novo synthesis (minimal substrates, physiological excretion)	1.0	O2[e];glucose[e]			CO2[e];H2O[e]										
							linoleate[c]	1.0									
	171.0	gamma-Linolenate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							gamma-linolenate[c]	1.0									
	172.0	Dihomo-gamma-linolenate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							dihomo-gamma-linolenate[c]	1.0									
	173.0	Arachidonate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							arachidonate[c]	1.0									
	174.0	Adrenic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							adrenic acid[c]	1.0									
	175.0	9Z,12Z,15Z,18Z-TTA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(9Z,12Z,15Z,18Z)-TTA[c]	1.0									
	176.0	6Z,9Z,12Z,15Z,18Z-TPA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(6Z,9Z,12Z,15Z,18Z)-TPA[c]	1.0									
	177.0	4Z,7Z,10Z,13Z,16Z-DPA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(4Z,7Z,10Z,13Z,16Z)-DPA[c]	1.0									
	178.0	11Z,14Z-eicosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(11Z,14Z)-eicosadienoic acid[c]	1.0									
	179.0	13Z,16Z-docosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(13Z,16Z)-docosadienoic acid[c]	1.0									
	180.0	10,13,16-docosatriynoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							10,13,16-docosatriynoic acid[c]	1.0									
	181.0	Lauric acid (complete oxidation)		lauric acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	182.0	Tridecylic acid (complete oxidation)		tridecylic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	183.0	Myristic acid (complete oxidation)		myristic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	184.0	9E-tetradecenoic acid (complete oxidation)		(9E)-tetradecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	185.0	7Z-tetradecenoic acid (complete oxidation)		(7Z)-tetradecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	186.0	Physeteric acid (complete oxidation)		physeteric acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	187.0	Pentadecylic acid (complete oxidation)		pentadecylic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	188.0	Palmitate (complete oxidation)		palmitate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	189.0	Palmitolate (complete oxidation)		palmitolate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	190.0	7-palmitoleic acid (complete oxidation)		7-palmitoleic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	191.0	Margaric acid (complete oxidation)		margaric acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	192.0	10Z-heptadecenoic acid (complete oxidation)		(10Z)-heptadecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	193.0	9-heptadecylenic acid (complete oxidation)		9-heptadecylenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	194.0	Stearate (complete oxidation)		stearate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	195.0	13Z-octadecenoic acid (complete oxidation)		(13Z)-octadecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	196.0	cis-vaccenic acid (complete oxidation)		cis-vaccenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	197.0	Oleate (complete oxidation)		oleate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	198.0	Elaidate (complete oxidation)		elaidate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	199.0	7Z-octadecenoic acid (complete oxidation)		(7Z)-octadecenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	200.0	6Z,9Z-octadecadienoic acid (complete oxidation)		(6Z,9Z)-octadecadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	201.0	Nonadecylic acid (complete oxidation)		nonadecylic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	202.0	Eicosanoate (complete oxidation)		eicosanoate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	203.0	13Z-Eicosenoic acid (complete oxidation)		(13Z)-eicosenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	204.0	cis-gondoic acid (complete oxidation)		cis-gondoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	205.0	9-Eicosenoic acid (complete oxidation)		9-eicosenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	206.0	8,11-Eicosadienoic acid (complete oxidation)		8,11-eicosadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	207.0	Mead acid (complete oxidation)		mead acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	208.0	Heneicosanoic acid (complete oxidation)		heneicosanoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	209.0	Behenic acid (complete oxidation)		behenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	210.0	cis-erucic acid (complete oxidation)		cis-erucic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	211.0	cis-cetoleic acid (complete oxidation)		cis-cetoleic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	212.0	Tricosanoic acid (complete oxidation)		tricosanoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	213.0	Lignocerate (complete oxidation)		lignocerate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	214.0	Nervonic acid (complete oxidation)		nervonic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	215.0	Cerotic acid (complete oxidation)		cerotic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	216.0	Ximenic acid (complete oxidation)		ximenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	217.0	Linolenate (complete oxidation)		linolenate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	218.0	Stearidonic acid (complete oxidation)		stearidonic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	219.0	omega-3-Arachidonic acid (complete oxidation)		omega-3-arachidonic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	220.0	EPA (complete oxidation)		EPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	221.0	DPA (complete oxidation)		DPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	222.0	9Z,12Z,15Z,18Z,21Z-TPA (complete oxidation)		(9Z,12Z,15Z,18Z,21Z)-TPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	223.0	6Z,9Z,12Z,15Z,18Z,21Z-THA (complete oxidation)		(6Z,9Z,12Z,15Z,18Z,21Z)-THA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	224.0	DHA (complete oxidation)		DHA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	225.0	11Z,14Z,17Z-eicosatrienoic acid (complete oxidation)		(11Z,14Z,17Z)-eicosatrienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	226.0	13,16,19-docosatrienoic acid (complete oxidation)		13,16,19-docosatrienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	227.0	10,13,16,19-docosatetraenoic acid (complete oxidation)		10,13,16,19-docosatetraenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	228.0	12,15,18,21-tetracosatetraenoic acid (complete oxidation)		12,15,18,21-tetracosatetraenoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	229.0	Linoleate (complete oxidation)		linoleate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	230.0	gamma-Linolenate (complete oxidation)		gamma-linolenate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	231.0	Dihomo-gamma-linolenate (complete oxidation)		dihomo-gamma-linolenate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	232.0	Arachidonate (complete oxidation)		arachidonate[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	233.0	Adrenic acid (complete oxidation)		adrenic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	234.0	9Z,12Z,15Z,18Z-TTA (complete oxidation)		(9Z,12Z,15Z,18Z)-TTA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	235.0	6Z,9Z,12Z,15Z,18Z-TPA (complete oxidation)		(6Z,9Z,12Z,15Z,18Z)-TPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	236.0	4Z,7Z,10Z,13Z,16Z-DPA (complete oxidation)		(4Z,7Z,10Z,13Z,16Z)-DPA[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	237.0	11Z,14Z-eicosadienoic acid (complete oxidation)		(11Z,14Z)-eicosadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	238.0	13Z,16Z-docosadienoic acid (complete oxidation)		(13Z,16Z)-docosadienoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	239.0	10,13,16-docosatriynoic acid (complete oxidation)		10,13,16-docosatriynoic acid[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	240.0	Triacylglycerol de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];linoleate[e];linolenate[e]			H2O[e];CO2[e]										
							TAG-LD pool[c]	1.0									
	241.0	Glycocholate de novo synthesis and excretion (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];phenylalanine[e]			H2O[e];CO2[e];urea[e]										
							glycocholate[e]	1.0									
	242.0	Glycochenodeoxycholate de novo synthesis and excretion		O2[e];glucose[e];Pi[e];phenylalanine[e]			H2O[e];CO2[e];urea[e]										
							glycochenodeoxycholate[e]	1.0									
	243.0	Taurocholate de novo synthesis and excretion (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];phenylalanine[e];cysteine[e]			H2O[e];CO2[e];urea[e]										
							taurocholate[e]	1.0									
	244.0	Taurochenodeoxycholate de novo synthesis and excretion (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];phenylalanine[e];cysteine[e]			H2O[e];CO2[e];urea[e]										
							taurochenodeoxycholate[e]	1.0									
	245.0	PAPS de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];NH3[e];sulfate[e];histidine[e];valine[e]			H2O[e];CO2[e];urea[e]										
							PAPS[c]	1.0									
	246.0	PAP degradation		PAPS[c]			CO2[e];H2O[e];urea[e];Pi[e];H2S[e]										
				O2[e]													
	247.0	SAM de novo synthesis (minimal substrates, physiological excretion)		O2[e];NH3[e];glucose[e];methionine[e]			H2O[e];CO2[e];urea[e]										
							SAM[c]	1.0									
	248.0	GSH de novo synthesis (minimal substrates, physiological excretion)		O2[e];NH3[e];glucose[e];methionine[e]			H2O[e];CO2[e];urea[e]										
							GSH[c]	1.0									
	249.0	Bilirubin conjugation (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];bilirubin[e]			H2O[e];CO2[e]										
							bilirubin-bisglucuronoside[e]	1.0									
	250.0	NH3 import and degradation		NH3[e];O2[e];glucose[e]			CO2[e];H2O[e]										
							urea[e]	1.0									
	251.0	Ethanol import and degradation (minimal substrates, minimalexcretion)		ethanol[e]	1.0	1.0	CO2[e];H2O[e]										
				O2[e]													
	252.0	Oxidative phosphorylation		succinate[m]	1.0	1.0	fumarate[m]	1.0	1.0	ATP[m] + H2O[m] => ADP[m] + Pi[m]	1.0						
				NADH[m];H+[m]	1.0	1.0	NAD+[m]	1.0	1.0								
				O2[e]			H2O[e]										
	253.0	Oxidative decarboxylation		pyruvate[m];NAD+[m];CoA[m]	1.0	1.0	acetyl-CoA[m];NADH[m];H+[m];CO2[e]	1.0	1.0								
	254.0	Krebs cycle NADH		acetyl-CoA[m];GDP[m];ubiquinone[m]	1.0	1.0	CoA[m];ubiquinol[m];GTP[m]	1.0	1.0								
				NAD+[m]	3.0	3.0	NADH[m]	3.0	3.0								
				Pi[m];H2O[e]			CO2[e];H+[c];H+[m]										
	255.0	Ubiquinol-to-proton		ubiquinol[m]	1.0	1.0	ubiquinone[m]	1.0	1.0								
				O2[e];H+[m]			H2O[e]										
							H+[c]	6.0									
	256.0	Ubiquinol-to-ATP		ubiquinol[m]	1.0	1.0	ubiquinone[m]	1.0	1.0	ATP[m] + H2O[m] => ADP[m] + Pi[m]	1.0						
				O2[e];H+[m]			H2O[e];H+[m];H+[c]										
